,Sign,Movement,Number of Hands,Location,Handshape,WLASL Identifier
0,BOWLING,,one-handed,in-space,bent 3,34
1,AFRICA,uni-directional,one-handed,in-space,flattened O,76
2,CHEAT,,two-handed,in-space,,81
3,DECIDE,uni-directional,two-handed,in-space,F,84
4,LETTER,,two-handed,,,88
5,LAUGH,repeated,two-handed,face,L,120
6,BLANKET,uni-directional,two-handed,in-space,flattened O,143
7,CUTE,,one-handed,face,H,150
8,LEAVE,,,,,161
9,LOSE,,two-handed,,,163
10,PROBLEM,repeated,two-handed,in-space,bent V,168
11,SHARE,repeated,two-handed,in-space,open B,170
12,APPROVE,uni-directional,two-handed,palm,K,181
13,CONVINCE,uni-directional,two-handed,in-space,B,196
14,COUNTRY,repeated,two-handed,arm,open B,197
15,CRASH,,,,,198
16,GOVERNMENT,uni-directional,one-handed,head-side,X,210
17,HOPE,uni-directional,two-handed,in-space,bent B,213
18,ORDER,,two-handed,in-space,,228
19,PRESIDENT,uni-directional,two-handed,in-space,5,236
20,RUSSIA,repeated,one-handed,face,1,239
21,SINCE,uni-directional,two-handed,in-space,1,243
22,THEORY,uni-directional,one-handed,face,T,249
23,WAR,repeated,two-handed,in-space,5,253
24,CHAMPION,uni-directional,two-handed,in-space,5,267
25,DELAY,uni-directional,two-handed,in-space,F,271
26,DELICIOUS,uni-directional,one-handed,face,8,272
27,DISAPPEAR,uni-directional,two-handed,palm,1,273
28,FAULT,,,,,281
29,HUMBLE,uni-directional,two-handed,palm,open B,289
30,KILL,uni-directional,two-handed,palm,1,294
31,LAW,uni-directional,two-handed,palm,L,295
32,KISS,repeated,two-handed,hand,flattened O,42
33,WRONG,repeated,one-handed,face,Y,50
34,NONE,non-repeated,one-handed,in-space,O,226
35,THIN,non-repeated,two-handed,in-space,F,14
36,SCHOOL,repeated,two-handed,palm,open B,70
37,BEARD,non-repeated,two-handed,face,bent 5,185
38,GLASSES,repeated,two-handed,headside,bent L,284
39,COW,repeated,two-handed,headside,Y,57
40,MAKE,non-repeated,two-handed,hand,S,220
41,CRY,repeated,two-handed,face,1,111
42,FINE,repeated,one-handed,torso,5,11
43,BALL,repeated,two-handed,face,bent 5,141
44,WRITE,repeated,two-handed,palm,baby O,137
45,LEARN,non-repeated,two-handed,palm,5,121
46,ORANGE,repeated,one-handed,face,S,27
47,THURSDAY,non-repeated,one-handed,in-space,T,99
48,WALK,repeated,two-handed,in-space,3,15
49,FAMILY,non-repeated,two-handed,in-space,F,37
50,WHY,non-repeated,one-handed,headside,open B,135
51,BOOK,non-repeated,two-handed,palm,open B,0
52,RIDE,non-repeated,two-handed,hand,bent V,238
53,CEREAL,repeated,two-handed,torso,open B,266
54,FOOTBALL,repeated,two-handed,in-space,5,206
55,WHO,repeated,one-handed,face,L,7
56,UGLY,non-repeated,two-handed,face,1,252
57,YESTERDAY,repeated,one-handed,headside,open A,138
58,COUSIN,repeated,one-handed,headside,c,9
59,COOK,non-repeated,two-handed,hand,open B,83
60,FRIENDLY,non-repeated,two-handed,in-space,5,283
61,WANT,non-repeated,two-handed,in-space,5,74
62,DANCE,repeated,two-handed,palm,V,58
63,TRAIN,repeated,two-handed,hand,H,251
64,GO,non-repeated,one-handed,in-space,1,5
65,BUSINESS,repeated,two-handed,hand,open B,188
66,CHRISTMAS,non-repeated,one-handed,in-space,C,193
67,OLD,repeated,one-handed,face,O,165
68,COFFEE,repeated,two-handed,hand,S,146
69,APPLE,repeated,one-handed,face,baby O,52
70,PLAY,repeated,two-handed,in-space,Y,69
71,COMPUTER,repeated,two-handed,arm,C,2
72,CRAZY,repeated,one-handed,headside,1,270
73,HARD,non-repeated,two-handed,hand,bent V,286
74,WORK,repeated,two-handed,hand,S,75
75,GIRL,repeated,one-handed,headside,open A,209
76,SALT,repeated,two-handed,hand,V,240
77,READ,repeated,two-handed,palm,V,124
78,YELLOW,repeated,one-handed,in-space,Y,104
79,CAT,repeated,one-handed,headside,F,108
80,MATCH,non-repeated,two-handed,in-space,bent 5,296
81,INTERNET,repeated,two-handed,hand,open 8,292
82,DRINK,non-repeated,one-handed,face,C,1
83,BUT,non-repeated,two-handed,hand,1,80
84,SICK,non-repeated,one-handed,face,open 8,129
85,HEADACHE,repeated,two-handed,face,1,117
86,BOY,repeated,one-handed,headside,flattened O,187
87,COLOR,repeated,one-handed,face,5,55
88,PAPER,repeated,two-handed,palm,5,92
89,WHAT,non-repeated,one-handed,in-space,W,30
90,CLOSE,non-repeated,two-handed,face,B,195
91,STAY,non-repeated,one-handed,in-space,Y,172
92,TALL,repeated,two-handed,in-space,bent B,48
93,WATER,repeated,one-handed,face,W,102
94,EAT,repeated,one-handed,face,flattened O,61
95,BAD,non-repeated,one-handed,face,open B,140
96,GOOD,non-repeated,one-handed,face,open B,156
97,MORE,repeated,two-handed,hand,flattened O,222
98,MILK,repeated,one-handed,in-space,S,298
99,KNOW,repeated,one-handed,headside,bent B,159
